temperature_celsius,wind_kph,wind_degree,pressure_mb,humidity,gust_kph
15.850000000000001,21.95,260.0,1011.5,56.5,30.45
13.3,11.2,300.0,1016.0,31.0,18.4
8.9,3.6,10.0,1016.0,63.0,9.1
7.8,29.9,320.0,1019.0,63.0,37.1
9.4,20.2,310.0,1021.0,59.0,27.4
11.1,24.1,310.0,1017.0,54.0,31.3
8.9,22.0,260.0,1008.0,51.0,23.5
10.0,29.9,310.0,1016.0,66.0,37.1
11.1,24.1,320.0,1011.0,61.0,31.3
10.0,3.6,10.0,1009.0,61.0,7.7
7.8,9.0,250.0,1018.0,68.0,16.2
10.6,13.0,250.0,1020.0,68.0,20.2
16.1,6.8,290.0,1014.0,60.0,14.0
7.2,6.8,130.0,1022.0,74.0,7.3
2.8,9.0,280.0,1026.0,75.0,9.5
9.2,4.0,30.0,1023.0,92.0,11.2
10.6,3.6,210.0,1015.0,94.0,5.9
11.0,3.6,140.0,1008.0,94.0,5.5
10.2,9.0,240.0,1000.0,84.0,29.2
10.3,6.1,150.0,1008.0,91.0,15.2
10.2,4.0,240.0,1022.0,82.0,4.2
9.8,7.2,307.0,1021.0,75.0,10.3
10.2,6.1,170.0,1020.0,87.0,13.3
12.5,3.6,10.0,1013.0,73.0,3.7
11.2,19.1,270.0,1016.0,95.0,26.3
11.0,13.0,280.0,1022.0,80.0,20.2
11.9,9.0,250.0,1014.0,80.0,11.7
10.3,16.9,270.0,1024.0,76.0,24.1
9.2,13.0,260.0,1020.0,84.0,20.2
9.4,5.8,122.0,1020.0,70.0,6.6
9.6,9.0,270.0,1016.0,93.0,16.2
5.3,8.6,198.0,1020.0,87.0,18.1
9.3,4.3,193.0,1017.0,76.0,5.5
10.7,3.6,10.0,1019.0,93.0,10.8
10.1,3.6,10.0,1017.0,90.0,6.7
11.7,3.6,10.0,1017.0,86.0,9.8
13.1,6.8,290.0,1015.0,91.0,14.4
12.4,13.0,280.0,1013.0,85.0,18.1
11.3,20.2,290.0,1015.0,97.0,27.4
11.5,6.8,260.0,1020.0,94.0,14.4
11.5,6.8,260.0,1020.0,94.0,14.4
11.9,20.2,280.0,1011.0,97.0,27.4
11.1,13.0,280.0,1016.0,100.0,20.2
11.4,6.1,310.0,1018.0,90.0,14.4
10.7,9.0,230.0,1017.0,99.0,17.4
13.2,6.8,260.0,1019.0,100.0,7.6
12.4,22.0,290.0,1021.0,96.0,29.2
11.6,11.2,290.0,1023.0,93.0,15.1
10.2,9.0,220.0,1025.0,99.0,9.1
10.7,3.6,279.0,1025.0,86.0,6.8
12.5,3.6,10.0,1023.0,89.0,10.6
11.6,6.1,200.0,1017.0,97.0,13.3
10.2,11.2,40.0,1015.0,97.0,18.4
12.7,3.6,10.0,1015.0,96.0,10.6
13.1,11.2,270.0,1013.0,97.0,13.6
10.4,25.9,270.0,1015.0,100.0,33.1
11.5,25.9,280.0,1020.0,98.0,33.1
11.5,6.8,240.0,1020.0,98.0,11.3
11.5,6.8,240.0,1020.0,98.0,11.3
12.8,9.0,300.0,1016.0,96.0,12.9
12.1,20.2,270.0,1020.0,97.0,27.4
10.9,3.6,10.0,1018.0,100.0,10.6
13.7,11.2,280.0,1014.0,97.0,12.9
14.5,11.2,270.0,1018.0,95.0,18.9
13.4,13.0,250.0,1021.0,98.0,15.9
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
11.2,15.1,290.0,1021.0,100.0,22.3
8.0,7.9,191.0,1019.0,82.0,16.6
8.3,9.0,183.0,1021.0,89.0,18.9
7.2,9.4,249.0,1020.0,91.0,19.7
8.6,6.5,232.0,1012.0,90.0,13.6
9.9,5.8,245.0,1012.0,95.0,12.1
11.8,3.6,114.0,1011.0,92.0,6.8
13.5,5.0,227.0,1013.0,98.0,8.9
10.6,5.0,232.0,1017.0,97.0,10.6
10.7,4.7,268.0,1018.0,85.0,9.8
14.1,4.0,171.0,1018.0,71.0,8.3
11.5,5.4,253.0,1019.0,89.0,11.3
11.1,5.0,238.0,1014.0,90.0,10.6
10.6,4.3,236.0,1015.0,88.0,9.1
9.0,6.8,231.0,1019.0,92.0,14.4
9.6,6.5,240.0,1021.0,92.0,13.6
11.0,4.3,223.0,1016.0,73.0,9.1
12.2,4.7,229.0,1014.0,70.0,9.8
11.4,6.8,234.0,1015.0,88.0,14.4
9.5,6.8,228.0,1016.0,95.0,14.4
9.1,3.6,180.0,1013.0,95.0,3.8
11.3,3.6,210.0,1015.0,95.0,6.2
14.2,13.0,280.0,1019.0,96.0,17.4
11.3,22.0,290.0,1018.0,100.0,29.2
12.6,13.0,270.0,1017.0,94.0,20.2
11.6,3.6,10.0,1014.0,99.0,10.6
13.6,3.6,10.0,1012.0,100.0,8.3
10.4,3.6,10.0,1017.0,100.0,12.9
10.9,3.6,10.0,1019.0,100.0,4.5
10.5,9.0,270.0,1018.0,100.0,13.6
10.2,3.6,109.0,1014.0,97.0,10.8
11.5,9.0,280.0,1009.0,100.0,10.6
11.2,3.6,10.0,1011.0,100.0,5.3
12.6,6.8,130.0,1023.0,100.0,14.4
10.6,3.6,10.0,1023.0,100.0,9.8
11.1,22.0,271.0,1019.0,90.0,30.9
9.0,6.1,180.0,1026.0,92.0,12.9
11.3,6.1,240.0,1023.0,86.0,7.6
14.3,9.0,150.0,1019.0,82.0,16.2
14.2,6.1,180.0,1018.0,84.0,13.3
13.6,3.6,10.0,1013.0,94.0,5.3
14.1,9.0,290.0,1013.0,100.0,19.7
13.2,6.8,290.0,1021.0,98.0,9.1
9.5,6.1,240.0,1023.0,100.0,9.1
12.5,3.6,10.0,1021.0,92.0,8.3
13.7,3.6,10.0,1017.0,96.0,6.8
12.5,6.1,260.0,1014.0,99.0,13.3
11.8,3.6,10.0,1011.0,100.0,7.6
12.3,15.1,260.0,1015.0,100.0,22.3
9.8,11.2,260.0,1014.0,100.0,18.4
11.1,6.1,250.0,1007.0,100.0,13.3
11.7,9.0,310.0,1012.0,100.0,12.5
11.1,4.3,195.0,1016.0,97.0,9.1
11.4,4.0,253.0,1012.0,100.0,8.3
9.8,8.3,265.0,1015.0,99.0,17.4
9.5,6.1,278.0,1017.0,98.0,12.9
10.7,5.8,226.0,1011.0,99.0,12.1
11.1,4.0,309.0,1015.0,100.0,6.2
8.7,9.4,245.0,1017.0,100.0,19.7
9.5,3.6,214.0,1018.0,97.0,7.6
9.1,4.3,228.0,1023.0,100.0,9.1
10.3,6.1,213.0,1020.0,97.0,12.9
13.7,3.6,186.0,1020.0,100.0,10.8
11.3,3.6,275.0,1017.0,100.0,6.0
12.5,7.9,258.0,1004.0,100.0,16.6
8.9,6.1,200.0,1015.0,93.0,12.9
12.1,3.6,192.0,1016.0,96.0,10.8
9.9,7.9,264.0,1018.0,89.0,16.6
11.4,16.9,264.0,1019.0,58.0,32.8
8.5,10.1,230.0,1031.0,88.0,21.2
9.5,3.6,261.0,1024.0,93.0,3.8
9.7,16.6,261.0,1024.0,87.0,34.2
8.3,3.6,257.0,1025.0,90.0,7.6
9.7,3.6,171.0,1009.0,91.0,3.8
8.6,7.6,204.0,1023.0,94.0,15.9
10.4,3.6,241.0,1021.0,94.0,6.8
8.2,3.6,216.0,1020.0,97.0,7.6
10.6,6.1,214.0,1011.0,97.0,12.9
11.6,15.5,265.0,1016.0,80.0,28.8
8.1,8.3,252.0,1025.0,94.0,17.4
7.5,4.7,234.0,1019.0,97.0,9.8
8.5,4.3,234.0,1018.0,97.0,9.1
10.4,6.5,168.0,1021.0,93.0,13.6
11.4,4.3,216.0,1015.0,91.0,9.1
10.9,8.6,250.0,1020.0,81.0,14.9
9.7,3.6,193.0,1014.0,94.0,4.5
7.9,7.6,169.0,1013.0,95.0,12.0
7.3,5.0,187.0,1023.0,95.0,10.6
11.7,5.0,150.0,1016.0,89.0,10.6
9.5,4.3,276.0,1017.0,100.0,9.1
8.6,3.6,262.0,1015.0,99.0,10.8
8.5,3.6,1.0,1023.0,100.0,6.8
2.8,6.8,242.0,1026.0,92.0,14.4
2.8,6.8,242.0,1026.0,92.0,14.4
2.8,3.6,309.0,1020.0,96.0,6.0
5.0,3.6,147.0,1013.0,92.0,7.6
10.1,15.8,302.0,1005.0,100.0,20.2
8.1,5.8,160.0,1011.0,97.0,11.5
6.7,4.3,152.0,1018.0,96.0,8.4
7.3,9.0,166.0,1013.0,91.0,18.9
5.8,10.8,158.0,1011.0,98.0,15.9
5.8,10.8,158.0,1011.0,98.0,15.9
8.6,6.1,314.0,1006.0,100.0,12.0
8.5,6.5,227.0,1015.0,97.0,8.2
8.6,6.1,164.0,1020.0,97.0,12.9
4.7,25.6,253.0,1021.0,80.0,53.7
7.2,3.6,166.0,1030.0,93.0,4.7
6.6,3.6,93.0,1026.0,99.0,4.5
7.2,4.3,206.0,1022.0,100.0,9.1
8.7,3.6,146.0,1015.0,100.0,6.8
8.9,6.1,127.0,1014.0,99.0,11.3
8.5,18.4,143.0,999.0,100.0,33.7
7.9,4.3,185.0,1007.0,99.0,6.7
9.5,30.2,144.0,998.0,86.0,43.2
8.1,9.0,202.0,1003.0,99.0,12.0
5.8,10.4,261.0,1018.0,86.0,17.1
4.7,6.8,149.0,1019.0,83.0,13.6
7.5,4.7,171.0,1000.0,98.0,6.4
5.1,9.4,182.0,1006.0,93.0,15.9
4.2,7.9,188.0,1012.0,92.0,10.9
6.6,27.4,136.0,995.0,90.0,32.2
6.9,10.1,167.0,1009.0,88.0,18.4
5.5,7.2,46.0,1009.0,95.0,11.4
6.6,6.5,194.0,1002.0,97.0,11.3
6.3,13.3,156.0,1008.0,97.0,24.0
7.3,9.4,102.0,1012.0,93.0,13.9
6.5,4.7,349.0,1018.0,90.0,6.8
4.9,3.6,163.0,1027.0,99.0,5.6
4.5,3.6,191.0,1028.0,91.0,6.8
4.2,4.0,203.0,1024.0,93.0,8.3
6.3,5.4,184.0,1025.0,90.0,11.3
4.1,3.6,166.0,1025.0,99.0,6.0
4.4,3.6,182.0,1026.0,100.0,5.3
5.3,3.6,150.0,1028.0,92.0,6.0
4.4,3.6,157.0,1027.0,93.0,6.0
4.5,4.0,203.0,1025.0,97.0,8.3
4.7,3.6,130.0,1027.0,100.0,4.5
9.2,3.6,202.0,1014.0,100.0,10.8
6.6,7.9,260.0,1019.0,92.0,14.7
5.2,6.5,189.0,1032.0,95.0,13.6
5.7,3.6,177.0,1033.0,86.0,10.8
5.2,5.8,115.0,1022.0,93.0,12.1
4.9,3.6,130.0,1009.0,99.0,10.8
5.1,5.4,163.0,1008.0,99.0,11.3
6.4,22.7,140.0,995.0,99.0,34.2
6.2,7.6,193.0,1017.0,83.0,14.4
5.1,15.5,104.0,1012.0,95.0,19.3
6.7,7.2,97.0,1016.0,98.0,9.4
8.1,18.7,154.0,1001.0,100.0,37.9
5.1,10.8,133.0,1022.0,87.0,22.7
6.3,4.7,119.0,1017.0,90.0,9.8
8.2,5.4,102.0,1010.0,75.0,11.3
5.1,7.6,185.0,1015.0,85.0,15.9
8.1,5.4,254.0,1012.0,90.0,10.7
8.4,16.2,148.0,1002.0,83.0,22.8
5.7,6.8,200.0,1016.0,83.0,14.4
6.1,29.5,129.0,989.0,90.0,36.1
6.6,6.8,157.0,999.0,97.0,10.7
5.4,13.0,157.0,999.0,100.0,21.7
7.4,4.0,165.0,1007.0,97.0,5.8
4.8,7.9,185.0,1021.0,94.0,12.7
3.3,7.2,160.0,1026.0,97.0,15.1
5.2,7.6,163.0,1015.0,89.0,11.6
5.6,3.6,84.0,1018.0,86.0,10.8
5.3,7.2,32.0,1013.0,100.0,9.5
6.7,4.3,283.0,1013.0,100.0,6.6
6.3,6.8,149.0,1017.0,99.0,10.3
7.2,5.8,348.0,1031.0,99.0,7.2
7.2,5.8,348.0,1031.0,99.0,7.2
6.1,4.0,158.0,1031.0,100.0,8.3
6.1,3.6,154.0,1035.0,93.0,4.5
5.3,10.1,287.0,1021.0,100.0,21.2
6.7,14.4,248.0,1031.0,65.0,30.2
5.1,3.6,200.0,1033.0,93.0,5.4
3.3,8.3,248.0,1037.0,91.0,17.4
4.6,3.6,197.0,1035.0,87.0,4.5
5.5,3.6,183.0,1032.0,89.0,10.8
6.1,8.3,226.0,1022.0,95.0,17.4
3.2,3.6,347.0,1027.0,84.0,7.6
0.8,4.0,259.0,1035.0,85.0,8.3
2.7,3.6,247.0,1032.0,90.0,6.8
2.3,3.6,253.0,1036.0,89.0,6.0
1.9,4.3,213.0,1031.0,87.0,9.1
-2.8,3.6,82.0,1040.0,92.0,10.8
2.6,3.6,276.0,1038.0,89.0,6.8
1.1,7.6,317.0,1031.0,92.0,15.9
3.1,5.4,266.0,1032.0,74.0,11.3
1.7,4.0,243.0,1031.0,70.0,8.3
2.2,3.6,223.0,1031.0,89.0,3.8
2.7,3.6,219.0,1026.0,82.0,3.8
2.2,4.3,202.0,1021.0,94.0,9.1
-0.6,3.6,198.0,1020.0,96.0,7.6
5.4,8.3,140.0,1007.0,97.0,16.0
3.3,22.3,266.0,1013.0,84.0,27.2
0.8,7.9,190.0,1010.0,94.0,13.7
0.1,10.8,261.0,1011.0,92.0,22.5
-0.7,12.2,325.0,1009.0,100.0,25.7
-1.7,7.2,322.0,1008.0,69.0,12.8
0.7,10.8,347.0,1017.0,96.0,17.5
1.2,7.6,309.0,1015.0,86.0,14.7
2.1,7.6,165.0,1025.0,87.0,12.3
-0.6,3.6,165.0,1032.0,96.0,5.3
-1.7,4.3,244.0,1033.0,92.0,7.9
-2.2,6.1,331.0,1031.0,69.0,10.7
-0.2,3.6,200.0,1021.0,71.0,5.3
-0.4,12.2,134.0,1003.0,73.0,19.5
1.7,3.6,124.0,1003.0,95.0,10.8
3.1,9.7,163.0,1026.0,85.0,20.1
4.2,7.6,153.0,1012.0,97.0,15.9
6.1,3.6,177.0,1010.0,100.0,10.8
5.2,3.6,189.0,1020.0,100.0,3.6
6.4,17.3,134.0,1009.0,100.0,29.3
6.6,7.2,195.0,1024.0,98.0,15.1
6.1,12.6,141.0,1024.0,100.0,26.5
6.6,6.1,190.0,1015.0,100.0,12.3
7.8,11.5,250.0,1010.0,100.0,18.8
6.1,6.5,186.0,1015.0,100.0,13.6
6.8,29.2,140.0,996.0,97.0,35.7
6.6,8.6,149.0,1025.0,99.0,18.1
6.3,7.6,183.0,1019.0,100.0,15.9
7.4,5.4,261.0,1023.0,100.0,11.3
5.5,3.6,167.0,1015.0,100.0,7.6
7.5,3.6,202.0,1012.0,100.0,10.8
7.4,4.3,252.0,1017.0,100.0,5.8
7.2,3.6,208.0,1019.0,98.0,10.8
4.6,6.5,211.0,1020.0,95.0,13.6
4.1,7.2,251.0,1017.0,90.0,15.1
4.3,9.7,219.0,1020.0,83.0,20.4
6.8,3.6,210.0,1019.0,91.0,6.8
6.5,8.3,188.0,1014.0,100.0,17.4
3.7,10.1,186.0,1017.0,92.0,13.8
4.8,6.8,183.0,1009.0,91.0,14.4
4.9,6.1,162.0,998.0,97.0,10.7
